skills
api
ariba
aws
bootstrap
cloud
css
data
database
etl
excel
github
html
java
javascript
jquery
linux
msbi
mysql
node
oracle
peoplesoft
peopletools
php
plsql
react
redshift
redux
sql
ssis
ssrs
workday
xml
xslt
